Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,138.4,-114.15,-45.0,top
C11,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,145.9625,-103.75,180.0,top
C12,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,154.825,-103.425,-45.0,top
C13,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,153.7,-99.7,0.0,top
C2,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,151.375,-86.2125,90.0,top
C3,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,151.9625,-89.15,180.0,top
C4,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,138.791242,-96.944543,45.0,top
C5,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,142.6125,-118.65,0.0,top
C6,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,140.382233,-98.535534,45.0,top
C7,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,142.6125,-112.65,0.0,top
C8,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,144.032671,-93.064296,-45.0,top
J1,B3B-XH-A,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,139.607969,-76.292031,45.0,top
J3,B6B-XH-A,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,139.94038,-126.79038,135.0,top
J4,B2B-XH-A,CONN_B2B-XH-A_JST,133.770199,-104.5666,-90.0,top
Module1,ComputeModule4-CM4,Raspberry-Pi-4-Compute-Module,178.69985,-101.7,0.0,top
Module1,ComputeModule4-CM4,Raspberry-Pi-4-Compute-Module,178.69985,-90.7,0.0,top
U1,BMP581,QFN10_BMP581_BOS,153.75,-86.510301,90.0,top
U3,TPS79333-EP,SOT-23-5,142.5125,-115.7,0.0,top
U4,ICM-20948,QFN24_3X3X0P9_IVS,151.0,-104.75,180.0,top
U5,TPS79318-EP,SOT-23-5,142.15,-95.0,-45.0,top
